danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.664,0.316,5,-10.345,1,0.519,0.298,2.03E-06,0.0812,0.541,92.875,170640,4,1
0.694,0.685,6,-6.535,0,0.133,0.224,0,0.124,0.306,158.831,196180,4,1
0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37E-05,0.213,0.364,100.049,198160,4,1
0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06E-06,0.126,0.288,104.969,198903,4,1
0.607,0.609,0,-5.978,0,0.291,0.389,1.60E-05,0.111,0.556,74.946,185610,4,1
0.743,0.735,8,-5.337,1,0.0382,0.00389,0,0.304,0.631,104.979,189467,4,1
0.726,0.444,8,-8.922,0,0.372,0.283,0.143,0.177,0.569,185.044,168840,4,1
0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,177480,3,1
0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,200107,4,1
0.442,0.737,7,-5.046,1,0.109,0.0589,0,0.102,0.21,112.93,218320,5,1
0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,205427,4,1
0.695,0.583,9,-6.575,0,0.0423,0.00657,8.75E-05,0.104,0.382,152.001,199120,4,1
0.738,0.861,2,-4.141,1,0.237,0.32,0.00175,0.325,0.58,131.974,189052,4,1
0.838,0.545,5,-6.713,1,0.0706,0.208,8.01E-05,0.103,0.631,114.998,220590,4,1
0.426,0.177,5,-9.429,1,0.0436,0.954,0,0.317,0.317,133.483,170964,1,1
0.925,0.443,1,-8.216,1,0.264,0.0172,0,0.276,0.35,136.078,236615,4,1
0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4,1
0.731,0.774,10,-5.273,0,0.0555,0.434,3.34E-06,0.114,0.219,100.005,212467,4,1
0.632,0.732,6,-3.498,1,0.092,0.105,1.15E-05,0.111,0.317,159,221173,4,1
0.662,0.6,0,-6.402,1,0.0703,0.173,0.000137,0.109,0.331,134.979,222947,4,1
0.731,0.811,1,-3.225,1,0.0712,0.0204,0,0.411,0.426,147.045,218284,4,1
0.825,0.483,8,-5.746,0,0.08,0.538,1.48E-05,0.204,0.892,139.98,219933,4,1
0.671,0.714,7,-5.373,1,0.21,0.0844,1.48E-06,0.0568,0.477,105.137,140693,3,1
0.623,0.58,8,-7.076,1,0.332,0.0043,0,0.394,0.301,163.159,173798,4,1
0.857,0.621,9,-6.376,0,0.0825,0.148,0,0.0865,0.668,97.989,204467,4,1
0.572,0.543,7,-4.251,0,0.0287,0.0954,0,0.329,0.329,83.364,271387,4,1
0.559,0.491,2,-6.406,0,0.0346,0.0567,0,0.0992,0.114,153.131,244874,4,1
0.562,0.674,10,-6.049,0,0.0851,0.622,2.04E-05,0.111,0.293,122.699,220293,4,1
0.665,0.741,0,-3.694,1,0.0787,0.154,3.02E-05,0.345,0.57,144.968,156893,4,1
