danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Label
0.7,0.76,0,-3.5,1,0.04,0.19,0,0.09,0.55,120.04,215280,4,1
0.76,0.32,11,-7.21,1,0.05,0.84,0,0.08,0.58,91.02,189486,4,1
0.47,1,1,-0.58,1,0.16,0.01,0,0.39,0.11,117,260017,4,0
0.47,0.87,9,-4.48,0,0.34,0.03,0,0.31,0.65,86.62,171023,4,0
0.84,0.69,8,-5.4,1,0.04,0,0,0.34,0.15,100.05,155913,4,0
0.55,0.65,4,-4.8,0,0.29,0.08,0,0.13,0.22,141.85,204319,4,0
0.81,0.9,0,-3.11,1,0.1,0.01,0,0.1,0.47,116.99,196199,4,0
0.82,0.47,1,-10.95,1,0.29,0.23,0.09,0.09,0.24,104.88,182931,4,0
0.78,0.67,1,-6.22,0,0.17,0.18,0,0.15,0.54,145.98,243287,4,0
0.49,0.81,9,-3.91,1,0.14,0.22,0,0.11,0.33,159.89,156077,4,0
0.77,0.8,5,-3.48,0,0.29,0.1,0,0.11,0.45,97.03,152299,4,0
0.58,0.46,5,-4.17,1,0.25,0.48,0,0.11,0.63,176.19,158099,4,0
0.89,0.89,4,-4.6,0,0.15,0.05,0,0.16,0.67,130.05,154154,4,0
0.64,0.7,7,-7.87,1,0.44,0.01,0,0.13,0.26,105.77,226321,4,0
